Region,Percent
Duo,0.03073721
Duo,0.00078042
Duo,0.00167335
Duo,0.00543682
Jej,0.00322391
Jej,0.00025703
Jej,0.00093933
Jej,0.0004165
Ile,0.01597244
Ile,0.00247394
Ile,0.00206392
Ile,0.00182311
Cec,0.12953457
Cec,0.08682677
Cec,0.11808078
Cec,0.20687136
Prox Col,0.07497033
Prox Col,0.05422204
Prox Col,0.05752691
Prox Col,0.11423084
Mid Col,0.06347466
Mid Col,0.04365174
Mid Col,0.10210677
Mid Col,0.16953805
Dist Col,0.02809594
Dist Col,0.02918997
Dist Col,0.00545116
Dist Col,0.04543338
Feces,0.1113495
Feces,0.34531553
Feces,0.09135982
Feces,0.24373342
